label,word_count,character_count,capital_letters_count,digit_count,punctuation_count,capital_ratio,digit_ratio,punctuation_ratio,sentiment_score,rating
1,13,75,4,0,5,0.053333333,0,0.066666667,0.9593,5
1,16,80,1,0,3,0.0125,0,0.0375,0.891,5
1,14,67,2,0,2,0.029850746,0,0.029850746,0.7906,5
1,17,81,2,0,2,0.024691358,0,0.024691358,0.7463,1
1,18,85,3,0,2,0.035294118,0,0.023529412,0.7397,5
1,8,44,36,0,1,0.818181818,0,0.022727273,0,3
1,19,89,2,0,1,0.02247191,0,0.011235955,0.7506,5
1,17,85,2,0,1,0.023529412,0,0.011764706,0.9169,3
1,17,81,2,0,3,0.024691358,0,0.037037037,0.7087,5
1,16,74,2,0,1,0.027027027,0,0.013513514,0.858,5
1,15,75,3,1,4,0.04,0.013333333,0.053333333,-0.4019,5
1,19,86,2,0,1,0.023255814,0,0.011627907,0,5
1,13,67,3,2,5,0.044776119,0.029850746,0.074626866,0.6249,5
1,17,89,2,0,2,0.02247191,0,0.02247191,0,1
1,17,82,2,0,2,0.024390244,0,0.024390244,-0.5256,5
1,18,99,3,0,2,0.03030303,0,0.02020202,0.8293,5
1,11,64,3,0,3,0.046875,0,0.046875,0.9078,5
1,17,86,2,0,3,0.023255814,0,0.034883721,0.6478,5
1,14,71,2,0,2,0.028169014,0,0.028169014,0.6369,5
1,12,67,3,2,3,0.044776119,0.029850746,0.044776119,0.7902,5
1,16,75,2,0,2,0.026666667,0,0.026666667,0.6249,5
1,13,77,4,0,4,0.051948052,0,0.051948052,0.7964,5
1,14,67,1,0,2,0.014925373,0,0.029850746,0.6369,5
1,14,74,3,0,5,0.040540541,0,0.067567568,0.865,5
1,16,88,2,0,3,0.022727273,0,0.034090909,-0.4019,5
1,17,75,2,0,2,0.026666667,0,0.026666667,0.7003,5
1,19,84,5,1,1,0.05952381,0.011904762,0.011904762,0,2
1,15,84,3,0,5,0.035714286,0,0.05952381,0.6705,5
1,19,85,2,0,1,0.023529412,0,0.011764706,0.5763,5
1,16,88,2,0,2,0.022727273,0,0.022727273,0.079,5
1,14,69,3,0,3,0.043478261,0,0.043478261,0.7003,5
1,20,86,2,0,0,0.023255814,0,0,-0.0557,3
1,16,78,1,0,2,0.012820513,0,0.025641026,0.4926,3
1,13,65,1,0,2,0.015384615,0,0.030769231,0.5423,4
1,16,80,2,0,3,0.025,0,0.0375,0.7906,5
1,19,87,3,1,1,0.034482759,0.011494253,0.011494253,0,3
1,17,79,2,0,2,0.025316456,0,0.025316456,0.7351,5
1,17,84,2,0,1,0.023809524,0,0.011904762,0.6369,5
1,19,88,2,0,1,0.022727273,0,0.011363636,0.8016,5
1,15,93,2,0,4,0.021505376,0,0.043010753,-0.7717,1
1,16,78,2,0,3,0.025641026,0,0.038461538,0.8519,5
1,11,49,37,0,1,0.755102041,0,0.020408163,0.4215,2
1,16,87,3,0,4,0.034482759,0,0.045977011,0.8398,5
1,17,79,3,0,2,0.037974684,0,0.025316456,0.8689,5
